model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,6.3857,1,1,1,0,0,0,1,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.2977,1,1,1,0,0,0,1,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.2182,0,1,0,0,1,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.3343,0,0,0,1,0,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.2108,0,1,0,0,1,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.1843,1,0,0,0,0,1,1,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.3339,0,0,0,1,0,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.2791,0,0,0,1,0,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.2623,0,1,0,0,1,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.2078,0,0,0,1,0,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.2829,1,1,1,0,0,0,1,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",1,1,0.2783,0,0,0,1,0,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.202,1,0,0,0,0,1,1,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
qwen2.5-coder:3b,bug_detection,T=T3|O=O1|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Respond with a single character: 1 if the code is correct, 0 if it contains a bug.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return Fa...",0,0,0.2117,0,1,0,0,1,0,0,0.54,0.5357,0.6,0.566,50,0.00011291240135309294
