model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_fpr,summary_fnr,summary_true_positives,summary_false_positives,summary_true_negatives,summary_false_negatives,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,7.7832,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,3.5822,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,12.5123,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,11.9862,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,4.5907,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,4.1927,1,1,1,0,0,0,1,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,4.1289,0,0,0,1,0,0,0,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,4.4307,0,0,0,1,0,0,0,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",1,1,10.0135,0,0,0,1,0,0,0,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T0|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are a software engineer specializing in bug detection. Analyze the given Python function and determine whether it contains a bug.

MANDATORY: Output only a single digit...",1,1,10.2104,0,0,0,1,0,0,0,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
qwen2.5-coder:0.5b,security_detection,O=O0|R=R0|T=T2|V=V0,"Output exactly one digit: 1 (correct) or 0 (buggy). No other text.

***Internal steps (DO NOT output)***
1. Read the function carefully.
2. Trace through the logic — check loop conditions, operators, off-by-one errors.
3. Determine if the function would produce correct output for typical inputs.
4. Output only the digit.

You are an automated bug detector. Given a Python function, decide if it is correct (1) or contains a bug (0).

MANDATORY: Output only a single digit (0 or 1). Do not expla...",0,0,7.6889,0,1,0,0,1,0,0,0.5,0.5,0.8,0.6154,0.8,0.2,8,8,2,2,20,6.311900298814696e-06
