model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",1,1,2.0437,1,1,1,0,0,0,1,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",1,1,0.2997,1,1,1,0,0,0,1,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.209,0,1,0,0,1,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",1,1,0.3354,0,0,0,1,0,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.2133,0,1,0,0,1,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.1756,1,0,0,0,0,1,1,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.3329,0,1,0,0,1,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.2866,0,1,0,0,1,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",0,0,0.2795,0,1,0,0,1,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
qwen2.5-coder:3b,bug_detection,T=T3|V=V2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

IMPORTANT: Your response must contain only the digit 0 or 1. Any other output will cause an error.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return ...",1,1,0.2065,0,0,0,1,0,0,0,0.5,0.5,0.2,0.2857,50,9.983664068480624e-05
