model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):

def max_sublist_sum(arr):
    max_ending_here = 0
    max_so_far = 0

    for x in arr:
        max_ending_here = max(0, max_ending_here + x)
        max_so_far = max(max_so_far, max_ending_here)

    return max_so_far

""""""
def max_sublist_sum(arr):
    max_ending_here = 0
    max_so_far = 0

    for x in arr:
        max_ending_here = max(max_...",The provided Python function `max_sublist_sum` is correct. It implements Kad,,2.091,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
from heapq import *

def shortest_path_length(length_by_edge, startnode, goalnode):
    unvisited_nodes = [] # FibHeap containing (node, distance) pairs
    heappush(unvisited_nodes, (0, startnode))
    visited_nodes = set()

    while len(unvisited_nodes) > 0:
        distance, node = heappop(unvisited_nodes)
        if node is goalnode:
            r...",The provided Python function `shortest_path_length` is designed to implement Dijkstra,,0.5085,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
def topological_ordering(nodes):
    ordered_nodes = [node for node in nodes if not node.incoming_nodes]

    for node in ordered_nodes:
        for nextnode in node.outgoing_nodes:
            if set(ordered_nodes).issuperset(nextnode.outgoing_nodes) and nextnode not in ordered_nodes:
                ordered_nodes.append(nextnode)

    return ordered_no...",The provided Python function `topological_ordering` attempts to perform a topological,,0.399,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
from .node import Node
from .depth_first_search import depth_first_search


""""""
Driver to test depth first search
""""""
def main():
    # Case 1: Strongly connected graph
    # Output: Path found!
    station1 = Node(""Westminster"")
    station2 = Node(""Waterloo"", None, [station1])
    station3 = Node(""Trafalgar Square"", None, [station1, station2])
   ...",The provided Python function `depth_first_search` is designed to perform a depth-first,,0.5343,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):

import string
def to_base(num, b):
    result = ''
    alphabet = string.digits + string.ascii_uppercase
    while num > 0:
        i = num % b
        num = num // b
        result = result + alphabet[i]
    return result



""""""
Integer Base Conversion
base-conversion


Input:
    num: A base-10 integer to convert.
    b: The target base to...",The provided Python function `to_base` is designed to convert a given integer from,,0.4146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):

def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    num_lessoreq = len(arr) - len(above)

    if k < num_less:
        return kth(below, k)
    elif k >= num_lessoreq:
        return kth(above, k - num_lessoreq)
    else:
        return pivot
",The provided Python function `kth` is intended to find the k-th smallest,,0.3742,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
from .node import Node
from .detect_cycle import detect_cycle


""""""
Driver to test reverse linked list
""""""
def main():
    # Case 1: 5-node list input with no cycle
    # Expected Output: Cycle not detected!
    node1 = Node(1)
    node2 = Node(2, node1)
    node3 = Node(3, node2)
    node4 = Node(4, node3)
    node5 = Node(5, node4)

    if dete...",The provided Python function `main()` is designed to test the functionality of a linked,,0.5145,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):

def shortest_paths(source, weight_by_edge):
    weight_by_node = {
        v: float('inf') for u, v in weight_by_edge
    }
    weight_by_node[source] = 0

    for i in range(len(weight_by_node) - 1):
        for (u, v), weight in weight_by_edge.items():
            weight_by_edge[u, v] = min(
                weight_by_node[u] + weight,
             ...",The provided Python function `shortest_paths` is intended to implement the Bellman,,0.4614,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
def hanoi(height, start=1, end=3):
    steps = []
    if height > 0:
        helper = ({1, 2, 3} - {start} - {end}).pop()
        steps.extend(hanoi(height - 1, start, helper))
        steps.append((start, helper))
        steps.extend(hanoi(height - 1, helper, end))

    return steps


""""""
Towers of Hanoi
hanoi


An algorithm for solving the Tow...",The provided Python function `hanoi` is intended to solve the Towers of H,,0.4511,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    num_lessoreq = len(arr) - len(above)

    if k < num_less:
        return kth(below, k)
    elif k >= num_lessoreq:
        return kth(above, k)
    else:
        return pivot



""""""
QuickSelect...",The provided Python function `kth` is intended to implement the QuickSelect algorithm,,0.4043,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):

from .node import Node
from .shortest_path_length import shortest_path_length


""""""
Test shortest path length
""""""
def main():

    node1 = Node(""1"")
    node5 = Node(""5"")
    node4 = Node(""4"", None, [node5])
    node3 = Node(""3"", None, [node4])
    node2 = Node(""2"", None, [node1, node3, node4])
    node0 = Node(""0"", None, [node2, node5])

    l...",The provided Python function `shortest_path_length` is designed to calculate the shortest,,0.4683,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
from .node import Node
from .shortest_path_length import shortest_path_length


""""""
Test shortest path length
""""""
def main():

    node1 = Node(""1"")
    node5 = Node(""5"")
    node4 = Node(""4"", None, [node5])
    node3 = Node(""3"", None, [node4])
    node2 = Node(""2"", None, [node1, node3, node4])
    node0 = Node(""0"", None, [node2, node5])

    len...",The provided Python function `shortest_path_length` is designed to calculate the shortest,,0.464,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0.00019481105677670674
qwen2.5-coder:3b,bug_detection,T=T4,"You are a senior developer performing a code audit. Identify whether the following Python function is buggy or correct.


Input (Code):
def detect_cycle(node):
    hare = tortoise = node

    while True:
        if hare is None or hare.successor is None:
            return False

        tortoise = tortoise.successor
        hare = hare.successor.successor

        if hare is tortoise:
            return True


""""""
def detect_cycle(node):
    hare = tortoise = node

    while T...",The provided Python function `detect_cycle` is designed to detect cycles in a linked,,0.3665,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,50,0.00019481105677670674
