model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):

def max_sublist_sum(arr):
    max_ending_here = 0
    max_so_far = 0

    for x in arr:
        max_ending_here = max(0, max_ending_here + x)
       ...",1,1,2.0267,1,1,1,0,0,0,1,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
from heapq import *

def shortest_path_length(length_by_edge, startnode, goalnode):
    unvisited_nodes = [] # FibHeap containing (node, distance) pairs
...",1,1,0.2971,1,1,1,0,0,0,1,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
def topological_ordering(nodes):
    ordered_nodes = [node for node in nodes if not node.incoming_nodes]

    for node in ordered_nodes:
        for next...",0,0,0.2075,0,1,0,0,1,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
from .node import Node
from .depth_first_search import depth_first_search


""""""
Driver to test depth first search
""""""
def main():
    # Case 1: Stron...",1,1,0.3492,0,0,0,1,0,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):

import string
def to_base(num, b):
    result = ''
    alphabet = string.digits + string.ascii_uppercase
    while num > 0:
        i = num % b
     ...",1,1,0.2114,0,0,0,1,0,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):

def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
  ...",1,1,0.1784,1,1,1,0,0,0,1,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
from .node import Node
from .detect_cycle import detect_cycle


""""""
Driver to test reverse linked list
""""""
def main():
    # Case 1: 5-node list inpu...",0,0,0.3353,0,1,0,0,1,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):

def shortest_paths(source, weight_by_edge):
    weight_by_node = {
        v: float('inf') for u, v in weight_by_edge
    }
    weight_by_node[source] ...",1,1,0.2784,0,0,0,1,0,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
def hanoi(height, start=1, end=3):
    steps = []
    if height > 0:
        helper = ({1, 2, 3} - {start} - {end}).pop()
        steps.extend(hanoi(heig...",0,0,0.264,0,1,0,0,1,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
qwen2.5-coder:3b,bug_detection,T=T3|R=R3,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

***Internal steps (DO NOT output)***
1. Understand what the function is supposed to do.
2. Look for logical errors, typos, or incorrect conditions.
3. Output only the digit.


Input (Code):
def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    ...",1,1,0.2084,0,0,0,1,0,0,0,0.56,0.5517,0.64,0.5926,50,9.952517771559454e-05
