model,task,prompt_combo,prompt_text,raw_response,prediction,latency_sec,true_label,correct,true_positive,false_positive,true_negative,false_negative,gt_label,summary_accuracy,summary_precision,summary_recall,summary_f1_score,summary_total_predictions,summary_emissions_kgCO2
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",1,1,0.5366,1,1,1,0,0,0,1,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",1,1,0.2937,1,1,1,0,0,0,1,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.2357,0,1,0,0,1,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",1,1,0.3613,0,0,0,1,0,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.2089,0,1,0,0,1,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.1823,1,0,0,0,0,1,1,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.3423,0,1,0,0,1,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.2987,0,1,0,0,1,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",0,0,0.2765,0,1,0,0,1,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
qwen2.5-coder:3b,bug_detection,T=T3|O=O2|E=E2,"You are a static analysis tool. Inspect the given Python code and determine if it has a bug. Answer with a single digit: 0 for buggy, 1 for correct.

Your response must be exactly one digit: 0 or 1. Nothing else.

***EXAMPLE INPUT, OUTPUT FROM PREVIOUS INTERACTIONS***

Example 1:
Input (Code):
def is_even(n):
    if n % 2 = 0:
        return True
    else:
        return False
Output:
0

Example 2:
Input (Code):
def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)
Ou...",1,1,0.1932,0,0,0,1,0,0,0,0.52,0.5556,0.2,0.2941,50,9.456046931745804e-05
